Link do jogo,Nome do Jogo,Preço com desconto,Desconto aplicado,Avaliação do jogo,Data de Lançamento,Data de Fim da promoção
https://store.steampowered.com/app/1399670/?curator_clanid=4777282&utm_source=SteamDB,Instant Farmer - Logic Puzzle,"R$ 4,89",-30%,82.58%,Feb 2021,
https://store.steampowered.com/app/2428420/?curator_clanid=4777282&utm_source=SteamDB,Umbraclaw,"R$ 84,99",-32%,82.56%,May 2024,
https://store.steampowered.com/app/1588380/?curator_clanid=4777282&utm_source=SteamDB,Blaster Master Zero 3,"R$ 37,49",-50%,82.55%,Jul 2021,
https://store.steampowered.com/app/435840/?curator_clanid=4777282&utm_source=SteamDB,The Preposterous Awesomeness of Everything,"R$ 8,39",-60%,82.54%,Feb 2016,
https://store.steampowered.com/app/3085890/?curator_clanid=4777282&utm_source=SteamDB,Land Of Idyllic Beauty,"R$ 30,79",-20%,82.45%,Aug 2024,
https://store.steampowered.com/app/512460/?curator_clanid=4777282&utm_source=SteamDB,Nature And Life - Drunk On Nectar,"R$ 22,39",-20%,82.45%,Nov 2016,
https://store.steampowered.com/app/1089840/?curator_clanid=4777282&utm_source=SteamDB,Armored Brigade,"R$ 53,99",-50%,82.44%,Nov 2018,
https://store.steampowered.com/app/494730/?curator_clanid=4777282&utm_source=SteamDB,Galacticare,"R$ 71,19",-20%,82.40%,May 2024,
https://store.steampowered.com/app/1798010/?curator_clanid=4777282&utm_source=SteamDB,Mega Man Battle Network Legacy Collection Vol. 1,"R$ 69,95",-50%,82.39%,Apr 2023,
https://store.steampowered.com/app/1244910/?curator_clanid=4777282&utm_source=SteamDB,My Supermarket,"R$ 17,49",-30%,82.37%,Jul 2023,
https://store.steampowered.com/app/1074620/?curator_clanid=4777282&utm_source=SteamDB,Adore,"R$ 24,99",-50%,82.36%,Aug 2023,
https://store.steampowered.com/app/252750/?curator_clanid=4777282&utm_source=SteamDB,MouseCraft,"R$ 3,99",-80%,82.35%,Jul 2014,
